日期,开盘,收盘,最高,最低,成交量,MA5,MA10,MA20,MA30,MA60,MA120,MA250,SMA5,SMA10,SMA20,SMA30,SMA60,SMA120,SMA250,EMA12,EMA26,RSI6,RSI12,RSI24,DIF12-26-9,DEA12-26-9,MACD12-26-9,DIF12-26-12,DEA12-26-12,MACD12-26-12,BOLL_UPPER20-2,BOLL_MIDDLE20-2,BOLL_LOWER20-2,BOLL_UPPER26-2,BOLL_MIDDLE26-2,BOLL_LOWER26-2,K9-3-3,D9-3-3,J9-3-3,K10-3-3,D10-3-3,J10-3-3,ATR10,CCI,Williams_R10,BIAS5,BIAS10,BIAS20,BIAS30,BIAS60,BIAS120,BIAS250,PSY10
2025-02-17,639.9,660.82,661.0,630.0,9249959.0,649.72,621.144,631.2365000000001,647.3563333333334,602.5586666666667,460.28725,316.21964,649.72,621.144,631.2365000000001,647.3563333333334,602.5586666666667,460.28725,316.21964,634.6901412691508,631.0285791431136,71.25403253483425,53.70690952882734,51.00421522439872,3.661562126037211,1.5085456095286807,4.30603303301706,3.661562126037211,3.1937670892524386,0.9355900735695446,717.0285421472156,631.2365000000001,545.4444578527846,745.8234932214768,645.4411538461538,545.0588144708308,63.81433916563335,58.28666735123416,74.86968279443172,64.18531439175396,58.04811151401669,76.45972014722851,42.8160216239573,41.54772471905022,-24.637481010910054,0.01708428246013671,0.06387568744123753,0.04686595277681179,0.020797922215945962,0.09668989354286947,0.4356687047055944,1.0897500231168438,171.9631328352086
2025-02-18,660.82,628.1,660.88,626.0,7036589.0,641.7740000000001,626.7540000000001,626.6915000000001,646.5563333333333,605.4656666666667,463.5074166666667,318.22324,641.7740000000001,626.7540000000001,626.6915000000001,646.5563333333333,605.4656666666667,463.5074166666667,318.22324,633.6762733815891,630.8116473547348,40.48188926120951,51.275510204081634,41.499943269921715,2.864626026854353,1.7797616929938154,2.169728667721075,2.864626026854353,3.143130002729656,-0.5570079517506059,701.8832815427928,626.6915000000001,551.4997184572075,745.8583226645566,645.7142307692308,545.570138873905,59.17292940712554,58.58208803653129,60.35461214831403,59.420246224539284,58.50548975085756,61.249759171902724,41.37310860141961,24.279763465291893,-50.109890109890095,-0.02130656586274933,0.0021475730509895262,0.002247517319127337,-0.028545592057201467,0.037383347362938774,0.35510237250788323,0.9737716201997065,60.18054935345695
2025-02-19,628.49,625.51,635.88,614.0,6238696.0,635.676,631.705,623.2665,644.6233333333333,608.4131666666667,466.709,320.25768,635.676,631.705,623.2665,644.6233333333333,608.4131666666667,466.709,320.25768,632.4199236305755,630.4189327358656,31.117258611458126,52.29579684121806,40.400450889360165,2.000990894709844,1.8240075333370211,0.35396672274564533,2.000990894709844,2.967416293803531,-1.9328507981873742,691.4621505095535,623.2665,555.0708494904464,745.2330771529563,644.7923076923078,544.3515382316592,55.18839655642322,57.45085754316194,50.663474582945796,55.611055480584184,57.540678327433106,51.75180978688634,37.828907037525134,1.0601850992427548,-52.007326007326014,-0.015992423813389296,-0.009806792727618191,0.003599583805643397,-0.02965039015032036,0.028100695826492817,0.3402569909729617,0.953145979200249,95.95213383899215
2025-02-20,630.0,618.51,636.9,609.99,6110473.0,631.778,637.1569999999999,619.394,643.307,611.0383333333333,469.82491666666664,322.29172,631.778,637.1569999999999,619.394,643.307,611.0383333333333,469.82491666666664,322.29172,630.2799353797177,629.5367895702459,32.5188846404924,59.733790967309865,40.92510160634799,0.7431458094717982,1.6078351885639766,-1.7293787581843567,0.7431458094717982,2.625220834675572,-3.7641500504075474,678.383608861937,619.394,560.404391138063,737.3009069404308,640.9657692307693,544.6306315211078,42.618808299280914,52.50684112853494,22.84274264077287,51.07899361654807,55.386783423804765,42.46341400203467,35.843651212520555,1.7647329108670273,-57.98513011152417,-0.0210010478364236,-0.02926594230307434,-0.0014272014259098644,-0.03854613738075293,0.012227819858546833,0.3164691314973894,0.9190998763480489,89.35619869206555
2025-02-21,645.0,742.21,742.21,630.0,16532611.0,655.03,651.489,626.8045,646.5266666666666,615.4918333333334,473.885,324.79460000000006,655.03,651.489,626.8045,646.5266666666666,615.4918333333334,473.885,324.79460000000006,647.4999453212996,637.8829533057832,74.47048325740855,73.17420038481916,50.982785200411094,9.616992015516416,3.209666553954465,12.814650923123903,9.616992015516416,3.700877939420317,11.832228152192199,706.1034423105949,626.8045,547.505557689405,740.3919309627955,641.5892307692308,542.786530575666,61.745872199520605,55.58651815219683,74.06458029416817,67.38599574436537,59.386520863991635,83.38494550511285,51.817532810244096,212.78977674557677,-0.0,0.1330931407721785,0.13925177554801385,0.18411721677173679,0.14799595788779024,0.20588115033207857,0.5662238728805513,1.2851673026583568,619.1569578928264
2025-02-24,744.0,780.36,795.8,738.16,12757989.0,678.938,664.3290000000001,636.2225,651.8386666666667,619.9258333333332,478.3215,327.48208,678.938,664.3290000000001,636.2225,651.8386666666667,619.9258333333332,478.3215,327.48208,667.9399537334073,648.4368086164659,82.29929297577708,78.11825860948667,54.720726265579316,19.50314511694137,6.468362266551846,26.069565700779044,19.50314511694137,6.131995966731248,26.74229830042024,739.2947736468784,636.2225,533.1502263531215,753.8196062077898,644.2073076923077,534.5950091768257,71.78562185974364,60.98621938804577,93.3844268031394,75.54570422297348,64.77291531698559,97.09128203494927,52.87616320838153,302.3212537521137,-8.134878819810297,0.14938330156803717,0.17465894157864542,0.22655203171846336,0.19716739724962623,0.2587957430391541,0.631454994182783,1.3829090129145387,165.0752586178998
2025-02-25,780.0,790.38,818.87,751.5,10938062.0,711.394,676.5840000000001,644.8305,656.5353333333334,624.8988333333333,482.7093333333333,330.23148,711.394,676.5840000000001,644.8305,656.5353333333334,624.8988333333333,482.7093333333333,330.23148,686.7768839282677,658.9511190893203,80.24558782332616,76.60544085364158,57.58902556187296,27.825764838947407,10.739842781030958,34.1718441158329,27.825764838947407,9.469498870149119,36.71253193759658,768.3081656514732,644.8305,521.3528343485268,765.8379064420001,646.5307692307692,527.2236320195384,76.7291627919501,66.23386718934722,97.71975399715586,79.23588436743667,69.59390500046929,98.51984310137144,55.51140626140307,247.53921338091396,-13.383755343636967,0.11102989342052363,0.16819197616260498,0.22571745598261864,0.20386513850993543,0.26481273102072794,0.6373828832810361,1.3934120393367708,113.60813265476308
2025-02-26,781.13,795.0,813.0,762.93,7406488.0,745.292,690.484,653.3305,659.1020000000001,629.9988333333333,487.1619166666667,332.96668,745.292,690.484,653.3305,659.1020000000001,629.9988333333333,487.1619166666667,332.96668,703.4265940931496,669.0288139715929,94.84630266552018,72.96576970008348,57.76662484316185,34.39778012155671,15.471430249136109,37.852699744841196,34.39778012155671,13.304619062673362,42.18632211776669,793.3565247202197,653.3305,513.3044752797804,779.39714173489,649.4538461538461,519.5105505728022,80.7483029815456,71.07201245341335,100.10088403781012,82.41945069853665,73.86908689982508,99.5201782959598,54.522059668420695,195.82010380328086,-11.213416639263402,0.06669600639749249,0.15136628799508745,0.2168420118148471,0.20618659934274194,0.26190709876975965,0.6319009610596613,1.3876262934177077,106.00146426458556
2025-02-27,788.07,796.0,805.98,767.0,8093575.0,780.79,706.284,661.0745,661.4353333333333,635.1671666666666,491.68674999999996,335.70716,780.79,706.284,661.0745,661.4353333333333,635.1671666666666,491.68674999999996,335.70716,717.6686565403573,678.4340870107341,96.20575640956149,71.61018378013824,68.82081097197376,39.234569529623286,20.224058105233546,38.02102284877948,39.234569529623286,17.29384221143489,43.881454636376795,814.725310739979,661.0745,507.4236892600209,794.5846540291462,653.3765384615385,512.1684228939308,83.51591193280112,75.21997894654261,100.10777790531813,84.69841834671395,77.47886404878804,99.13752694256578,51.696230637798756,156.24550295006458,-10.743646356931462,0.01948026998296602,0.12702538922020037,0.20410029429360846,0.2034434205208269,0.2532133929047026,0.6189169222070761,1.3711141579464674,101.26500554189528
2025-02-28,780.0,735.44,796.0,725.0,12112043.0,779.436,717.233,666.7965,662.207,638.5153333333334,495.75525,338.18732,779.436,717.233,666.7965,662.207,638.5153333333334,495.75525,338.18732,720.4027093803024,682.6567472321611,74.5599663936148,61.50370713623727,62.049731182795696,37.7459621481413,23.728438913815097,28.03504646865241,37.7459621481413,20.440322201697413,34.61127989288778,822.6710458137147,666.7965,510.9219541862854,798.8307834869461,654.895,510.9592165130539,75.69674353543822,75.37890047617448,76.3324296539657,76.48508114471343,77.14760308076318,75.16003727261395,55.20600688547171,95.44228182489765,-39.94159325928761,-0.05644594296388668,0.025385056181185344,0.10294520142202308,0.1105892870356249,0.15179692891739482,0.48347395211649313,1.1746527930142385,45.325415471628425
