序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
64,002472,双环传动,0.5,38.95,1304.44,2025年2季度股票投资明细
65,600183,生益科技,0.5,42.94,1294.64,2025年2季度股票投资明细
66,688369,致远互联,0.5,49.06,1294.59,2025年2季度股票投资明细
67,300624,万兴科技,0.49,20.66,1281.95,2025年2季度股票投资明细
68,000792,盐湖股份,0.49,74.15,1266.48,2025年2季度股票投资明细
69,688256,寒武纪,0.48,2.09,1259.06,2025年2季度股票投资明细
70,002916,深南电路,0.48,11.61,1251.35,2025年2季度股票投资明细
71,603501,豪威集团,0.48,9.7,1238.21,2025年2季度股票投资明细
72,688027,国盾量子,0.47,4.49,1234.66,2025年2季度股票投资明细
73,000938,紫光股份,0.46,50.0,1199.5,2025年2季度股票投资明细
74,603882,金域医学,0.45,41.34,1180.81,2025年2季度股票投资明细
75,600588,用友网络,0.45,87.3,1167.2,2025年2季度股票投资明细
76,000733,振华科技,0.44,22.97,1149.65,2025年2季度股票投资明细
77,301358,湖南裕能,0.44,36.76,1146.54,2025年2季度股票投资明细
78,300378,鼎捷数智,0.42,30.0,1098.0,2025年2季度股票投资明细
79,002315,焦点科技,0.41,23.48,1072.8,2025年2季度股票投资明细
80,300170,汉得信息,0.4,60.0,1032.6,2025年2季度股票投资明细
81,300223,北京君正,0.39,14.73,1019.32,2025年2季度股票投资明细
82,688766,普冉股份,0.38,15.79,997.93,2025年2季度股票投资明细
83,300059,东方财富,0.38,43.13,997.6,2025年2季度股票投资明细
84,688297,中无人机,0.38,18.58,991.99,2025年2季度股票投资明细
85,300033,同花顺,0.38,3.6,982.84,2025年2季度股票投资明细
86,600584,长电科技,0.37,28.82,970.95,2025年2季度股票投资明细
87,000681,视觉中国,0.37,47.2,950.61,2025年2季度股票投资明细
88,300454,深信服,0.36,10.01,942.48,2025年2季度股票投资明细
89,001301,尚太科技,0.34,18.18,886.46,2025年2季度股票投资明细
90,003021,兆威机电,0.33,8.04,869.53,2025年2季度股票投资明细
91,300363,博腾股份,0.33,50.0,854.0,2025年2季度股票投资明细
92,600079,人福医药,0.32,40.0,839.24,2025年2季度股票投资明细
93,688183,生益电子,0.32,16.12,825.4,2025年2季度股票投资明细
94,600562,国睿科技,0.32,26.14,822.99,2025年2季度股票投资明细
95,603039,泛微网络,0.31,14.44,804.31,2025年2季度股票投资明细
96,002281,光迅科技,0.31,16.15,796.66,2025年2季度股票投资明细
97,688018,乐鑫科技,0.3,5.32,777.69,2025年2季度股票投资明细
98,002555,三七互娱,0.3,44.67,772.34,2025年2季度股票投资明细
99,600446,金证股份,0.29,39.92,757.28,2025年2季度股票投资明细
100,688017,绿的谐波,0.29,6.0,749.44,2025年2季度股票投资明细
101,688439,振华风光,0.29,12.73,741.39,2025年2季度股票投资明细
102,301171,易点天下,0.28,27.24,728.13,2025年2季度股票投资明细
103,002777,久远银海,0.28,39.64,723.83,2025年2季度股票投资明细
104,603259,药明康德,0.27,10.0,695.5,2025年2季度股票投资明细
105,603296,华勤技术,0.26,8.44,680.94,2025年2季度股票投资明细
106,688631,莱斯信息,0.26,7.61,679.04,2025年2季度股票投资明细
107,300124,汇川技术,0.25,10.0,645.7,2025年2季度股票投资明细
108,300130,新国都,0.23,17.02,604.72,2025年2季度股票投资明细
109,300354,东华测试,0.21,14.23,553.26,2025年2季度股票投资明细
110,688361,中科飞测,0.21,6.55,551.68,2025年2季度股票投资明细
111,688525,佰维存储,0.21,8.13,547.72,2025年2季度股票投资明细
112,600353,旭光电子,0.21,40.58,541.34,2025年2季度股票投资明细
113,002605,姚记科技,0.2,18.62,519.5,2025年2季度股票投资明细
114,300494,盛天网络,0.2,37.91,517.09,2025年2季度股票投资明细
115,300475,香农芯创,0.2,14.26,508.08,2025年2季度股票投资明细
116,300458,全志科技,0.2,12.78,507.36,2025年2季度股票投资明细
117,600480,凌云股份,0.19,41.52,505.32,2025年2季度股票投资明细
118,603267,鸿远电子,0.19,9.95,500.19,2025年2季度股票投资明细
119,600489,中金黄金,0.19,34.15,499.61,2025年2季度股票投资明细
120,688552,航天南湖,0.19,12.5,499.05,2025年2季度股票投资明细
121,002179,中航光电,0.19,12.31,496.83,2025年2季度股票投资明细
122,603383,顶点软件,0.19,11.67,494.81,2025年2季度股票投资明细
123,688318,财富趋势,0.19,4.21,484.18,2025年2季度股票投资明细
124,300709,精研科技,0.18,12.27,479.14,2025年2季度股票投资明细
125,603688,石英股份,0.18,13.52,476.17,2025年2季度股票投资明细
126,688246,嘉和美康,0.17,15.43,453.39,2025年2季度股票投资明细
127,300580,贝斯特,0.17,18.43,452.77,2025年2季度股票投资明细
128,300782,卓胜微,0.17,6.34,452.49,2025年2季度股票投资明细
129,300525,博思软件,0.17,30.62,445.83,2025年2季度股票投资明细
130,688617,惠泰医疗,0.17,1.46,432.82,2025年2季度股票投资明细
131,301392,汇成真空,0.11,2.37,282.53,2025年2季度股票投资明细
132,688206,概伦电子,0.1,9.36,272.19,2025年2季度股票投资明细
133,301269,华大九天,0.1,2.12,262.63,2025年2季度股票投资明细
134,688409,富创精密,0.1,4.65,256.01,2025年2季度股票投资明细
135,603893,瑞芯微,0.1,1.68,255.12,2025年2季度股票投资明细
136,688385,复旦微电,0.1,5.16,254.39,2025年2季度股票投资明细
137,603171,税友股份,0.1,5.92,253.95,2025年2季度股票投资明细
138,688776,国光电气,0.1,2.38,251.4,2025年2季度股票投资明细
139,688031,星环科技,0.09,5.28,246.1,2025年2季度股票投资明细
140,001309,德明利,0.09,1.95,230.76,2025年2季度股票投资明细
141,688153,唯捷创芯,0.08,7.08,219.43,2025年2季度股票投资明细
142,603011,合锻智能,0.08,13.96,217.5,2025年2季度股票投资明细
143,300002,神州泰岳,0.08,18.0,212.4,2025年2季度股票投资明细
144,688775,影石创新,0.0,0.06,7.11,2025年2季度股票投资明细
145,688708,佳驰科技,0.0,0.08,4.31,2025年2季度股票投资明细
146,688726,拉普拉斯,0.0,0.1,4.22,2025年2季度股票投资明细
147,001391,国货航,0.0,0.47,3.15,2025年2季度股票投资明细
148,603049,中策橡胶,0.0,0.07,3.1,2025年2季度股票投资明细
149,301522,上大股份,0.0,0.08,2.91,2025年2季度股票投资明细
150,688545,兴福电子,0.0,0.1,2.68,2025年2季度股票投资明细
151,301458,钧崴电子,0.0,0.07,2.39,2025年2季度股票投资明细
152,301275,汉朔科技,0.0,0.04,2.23,2025年2季度股票投资明细
153,688583,思看科技,0.0,0.02,1.81,2025年2季度股票投资明细
154,301631,壹连科技,0.0,0.02,1.77,2025年2季度股票投资明细
155,301678,新恒汇,0.0,0.04,1.7,2025年2季度股票投资明细
156,301602,超研股份,0.0,0.07,1.63,2025年2季度股票投资明细
157,301501,恒鑫生活,0.0,0.04,1.58,2025年2季度股票投资明细
158,001388,信通电子,0.0,0.09,1.54,2025年2季度股票投资明细
159,603202,天有为,0.0,0.02,1.5,2025年2季度股票投资明细
160,301607,富特科技,0.0,0.04,1.44,2025年2季度股票投资明细
161,301479,弘景光电,0.0,0.02,1.42,2025年2季度股票投资明细
162,301535,浙江华远,0.0,0.07,1.39,2025年2季度股票投资明细
163,688757,胜科纳米,0.0,0.05,1.39,2025年2季度股票投资明细
164,301617,博苑股份,0.0,0.03,1.35,2025年2季度股票投资明细
165,603194,中力股份,0.0,0.03,1.32,2025年2季度股票投资明细
166,603072,天和磁材,0.0,0.02,1.23,2025年2季度股票投资明细
167,301586,佳力奇,0.0,0.02,1.23,2025年2季度股票投资明细
168,301662,宏工科技,0.0,0.01,1.18,2025年2季度股票投资明细
169,301601,惠通科技,0.0,0.03,1.16,2025年2季度股票投资明细
170,001356,富岭股份,0.0,0.07,1.02,2025年2季度股票投资明细
171,301658,首航新能,0.0,0.04,1.0,2025年2季度股票投资明细
172,301665,泰禾股份,0.0,0.04,0.88,2025年2季度股票投资明细
173,688755,汉邦科技,0.0,0.02,0.8,2025年2季度股票投资明细
174,301173,毓恬冠佳,0.0,0.02,0.78,2025年2季度股票投资明细
175,301552,科力装备,0.0,0.02,0.78,2025年2季度股票投资明细
176,001382,新亚电缆,0.0,0.04,0.74,2025年2季度股票投资明细
177,603395,红四方,0.0,0.02,0.67,2025年2季度股票投资明细
178,603014,威高血净,0.0,0.02,0.67,2025年2季度股票投资明细
179,301636,泽润新能,0.0,0.01,0.61,2025年2季度股票投资明细
180,603091,众鑫股份,0.0,0.01,0.59,2025年2季度股票投资明细
181,301595,太力科技,0.0,0.02,0.57,2025年2季度股票投资明细
182,688530,欧莱新材,0.0,0.03,0.57,2025年2季度股票投资明细
183,301560,众捷汽车,0.0,0.02,0.52,2025年2季度股票投资明细
184,603310,巍华新材,0.0,0.03,0.49,2025年2季度股票投资明细
185,688123,聚辰股份,0.0,0.01,0.45,2025年2季度股票投资明细
186,603210,泰鸿万立,0.0,0.03,0.45,2025年2季度股票投资明细
187,603271,永杰新材,0.0,0.01,0.44,2025年2季度股票投资明细
188,603124,江南新材,0.0,0.01,0.41,2025年2季度股票投资明细
189,001395,亚联机械,0.0,0.01,0.38,2025年2季度股票投资明细
190,603409,汇通控股,0.0,0.01,0.33,2025年2季度股票投资明细
191,001390,古麒绒材,0.0,0.02,0.32,2025年2季度股票投资明细
192,603285,键邦股份,0.0,0.01,0.3,2025年2季度股票投资明细
193,603257,中国瑞林,0.0,0.01,0.29,2025年2季度股票投资明细
194,603400,华之杰,0.0,0.01,0.25,2025年2季度股票投资明细
195,603382,海阳科技,0.0,0.01,0.24,2025年2季度股票投资明细
196,001335,信凯科技,0.0,0.01,0.22,2025年2季度股票投资明细
197,603120,肯特催化,0.0,0.01,0.22,2025年2季度股票投资明细
198,002025,航天电器,4.06,250.0,12827.64,2025年3季度股票投资明细
199,688347,华虹公司,2.87,79.01,9050.97,2025年3季度股票投资明细
200,300308,中际旭创,2.82,22.09,8917.29,2025年3季度股票投资明细
201,600276,恒瑞医药,2.27,100.0,7155.16,2025年3季度股票投资明细
202,002371,北方华创,2.24,15.65,7080.7,2025年3季度股票投资明细
203,601689,拓普集团,2.05,80.01,6479.81,2025年3季度股票投资明细
204,002475,立讯精密,2.05,100.01,6469.45,2025年3季度股票投资明细
205,603986,兆易创新,2.03,30.0,6399.0,2025年3季度股票投资明细
206,688041,海光信息,1.94,24.32,6143.03,2025年3季度股票投资明细
207,688019,安集科技,1.88,26.0,5940.24,2025年3季度股票投资明细
208,300308,中际旭创,4.57,22.0,13420.0,2025年4季度股票投资明细
209,002475,立讯精密,2.84,147.3,8353.21,2025年4季度股票投资明细
210,688347,华虹公司,2.57,70.01,7551.59,2025年4季度股票投资明细
211,002371,北方华创,2.57,16.42,7539.38,2025年4季度股票投资明细
212,688256,寒武纪,2.46,5.34,7238.09,2025年4季度股票投资明细
213,601689,拓普集团,2.4,91.4,7054.06,2025年4季度股票投资明细
214,300502,新易盛,2.26,15.37,6622.63,2025年4季度股票投资明细
215,688041,海光信息,2.15,28.19,6326.3,2025年4季度股票投资明细
216,688019,安集科技,2.09,28.2,6144.34,2025年4季度股票投资明细
217,603986,兆易创新,2.05,28.16,6033.28,2025年4季度股票投资明细
