序号,股票代码,股票名称,占净值比例,持股数,持仓市值,季度
46,301516,中远通,0.0,0.06,1.01,2025年2季度股票投资明细
47,301500,飞南资源,0.0,0.04,0.9,2025年2季度股票投资明细
48,688570,天玛智控,0.0,0.04,0.89,2025年2季度股票投资明细
49,603072,天和磁材,0.0,0.01,0.8,2025年2季度股票投资明细
50,301479,弘景光电,0.0,0.01,0.73,2025年2季度股票投资明细
51,301275,汉朔科技,0.0,0.01,0.63,2025年2季度股票投资明细
52,001356,富岭股份,0.0,0.04,0.6,2025年2季度股票投资明细
53,301529,福赛科技,0.0,0.02,0.57,2025年2季度股票投资明细
54,001382,新亚电缆,0.0,0.03,0.53,2025年2季度股票投资明细
55,301173,毓恬冠佳,0.0,0.01,0.52,2025年2季度股票投资明细
56,688429,时创能源,0.0,0.03,0.5,2025年2季度股票投资明细
57,301501,恒鑫生活,0.0,0.01,0.48,2025年2季度股票投资明细
58,001395,亚联机械,0.0,0.01,0.38,2025年2季度股票投资明细
59,603344,星德胜,0.0,0.01,0.35,2025年2季度股票投资明细
60,001358,兴欣新材,0.0,0.01,0.29,2025年2季度股票投资明细
61,603381,永臻股份,0.0,0.01,0.28,2025年2季度股票投资明细
62,300450,先导智能,9.63,320.93,19968.26,2025年3季度股票投资明细
63,688778,厦钨新能,9.56,236.45,19837.79,2025年3季度股票投资明细
64,301662,宏工科技,9.01,144.79,18685.02,2025年3季度股票投资明细
65,688155,先惠技术,8.53,232.64,17683.08,2025年3季度股票投资明细
66,300409,道氏技术,8.22,671.13,17046.7,2025年3季度股票投资明细
67,688567,孚能科技,8.03,778.52,16652.48,2025年3季度股票投资明细
68,002846,英联股份,7.93,847.66,16444.6,2025年3季度股票投资明细
69,688116,天奈科技,7.02,211.4,14557.15,2025年3季度股票投资明细
70,603663,三祥新材,6.99,504.94,14491.74,2025年3季度股票投资明细
71,603200,上海洗霸,6.92,158.06,14350.27,2025年3季度股票投资明细
72,301662,宏工科技,9.84,85.96,10339.05,2025年4季度股票投资明细
73,688778,厦钨新能,9.79,133.0,10290.21,2025年4季度股票投资明细
74,688155,先惠技术,9.62,167.21,10108.14,2025年4季度股票投资明细
75,300450,先导智能,9.48,199.31,9961.49,2025年4季度股票投资明细
76,301617,博苑股份,7.5,101.27,7875.99,2025年4季度股票投资明细
77,688147,微导纳米,7.17,120.0,7534.8,2025年4季度股票投资明细
78,688499,利元亨,6.88,125.27,7230.68,2025年4季度股票投资明细
79,301150,中一科技,6.58,164.58,6910.71,2025年4季度股票投资明细
80,002846,英联股份,6.45,420.0,6778.8,2025年4季度股票投资明细
81,300092,科新机电,4.91,326.59,5156.86,2025年4季度股票投资明细
