日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅,MA5,MA10,MA20,MA30,MA60,MA120,MA250,SMA5,SMA10,SMA20,SMA30,SMA60,SMA120,SMA250,EMA12,EMA26,RSI6,RSI12,RSI24,DIF12-26-9,DEA12-26-9,MACD12-26-9,DIF12-26-12,DEA12-26-12,MACD12-26-12,BOLL_UPPER20-2,BOLL_MIDDLE20-2,BOLL_LOWER20-2,K9-3-3,D9-3-3,J9-3-3,K10-3-3,D10-3-3,J10-3-3,ATR10,CCI,Williams_R10,BIAS5,BIAS10,BIAS20,BIAS30,BIAS60,BIAS120,BIAS250,PSY10
2024-12-23,22.23,22.64,22.04,22.05,138310381,3081972766.5,0.6963,0.1362,21.854,21.849,22.0445,22.707,23.715666666666667,23.086250000000003,21.758,21.854,21.849,22.0445,22.707,23.715666666666667,23.086250000000003,21.758,21.986437211501954,22.433247692435607,67.49999999999989,43.43163538873999,40.36908881199541,-0.44681048093365305,-0.5180830202223444,0.14254507857738274,-0.44681048093365305,-0.5046497194957356,0.11567847712416501,22.875592495960685,22.0445,21.213407504039314,54.16910251706954,44.6744461265507,73.15841529810722,52.379010734823794,43.710533373971685,69.71596545652801,0.7224832740273405,41.452572022401576,-38.86010362694301,0.008968609865470921,0.009199505698201315,0.00024949533897350326,-0.028933808957590172,-0.0702348658411458,-0.044886025231469055,0.013420351135214708,101.37078081323709
2024-12-24,22.11,23.07,21.8,23.0,210029160,4726842840.51,1.0573,4.3084,22.134,21.935,22.09,22.616333333333333,23.755999999999997,23.049583333333334,21.78896,22.134,21.935,22.09,22.616333333333333,23.755999999999997,23.049583333333334,21.78896,22.142369948193963,22.475229344847783,86.46616541353376,54.329004329004306,44.646680942184155,-0.33285939665382,-0.4810382955086396,0.2963577977096391,-0.33285939665382,-0.4782204390585178,0.29072208480939554,23.024755808247633,22.09,21.155244191752367,68.38546228410696,52.578118179069456,100.000150494182,67.19206776260981,51.53771150351773,98.50078028079398,0.822031769658733,115.17644511799165,-3.181818181818196,0.03912532755037497,0.048552541600182415,0.041195110909914,0.0169641409600731,-0.03182353931638309,-0.0021511596377375335,0.0555804407369604,152.47281629438217
2024-12-25,23.03,23.19,22.52,22.72,162508620,3716854497.99,0.8181,-1.2174,22.395999999999997,21.974,22.110000000000003,22.491333333333333,23.7835,23.005583333333334,21.81952,22.395999999999997,21.974,22.110000000000003,22.491333333333333,23.7835,23.005583333333334,21.81952,22.231236110010276,22.493360504488688,73.33333333333323,56.6591422121896,46.077348066298335,-0.2621243944784126,-0.4372555153025942,0.35026224164836317,-0.2621243944784126,-0.44497489373850163,0.365700998520178,23.081856606273764,22.110000000000003,21.138143393726242,72.17076795951955,59.10900143921949,98.29430100011969,71.37517161185478,58.15019820629675,97.82511842297083,0.7943896297207819,137.02963702963723,-20.258620689655274,0.014466869083765032,0.03394921270592512,0.027589326096788592,0.010166879094169553,-0.04471587445077475,-0.012413653207373648,0.04126946880591315,88.47180956007047
2024-12-26,22.64,23.38,22.42,23.33,195460093,4515517026.52,0.984,2.6849,22.624,22.073,22.184,22.44,23.81133333333333,22.971999999999998,21.85284,22.624,22.073,22.184,22.44,23.81133333333333,22.971999999999998,21.85284,22.400276708470233,22.555333800452487,84.04255319148929,61.82902584493038,52.70121278941564,-0.15505709198225404,-0.3808158306385262,0.4515174773125443,-0.15505709198225404,-0.40037215500677126,0.49063012604903444,23.28879147830094,22.184,21.079208521699062,80.7831680155097,66.33372363131623,109.68205678389663,80.25277045039985,65.51772228766445,109.72286677587064,0.8245006061351847,161.89274644486983,-1.99203187250999,0.031205799151343687,0.056947401803107776,0.05165885322755126,0.039661319073083644,-0.020214463700758682,0.015584189448023707,0.06759579075305534,130.33591871284688
2024-12-27,23.16,23.2,22.55,22.61,179613147,4104549967.27,0.9042,-3.0862,22.741999999999997,22.198999999999998,22.205000000000002,22.396333333333335,23.80483333333333,22.93225,21.88416,22.741999999999997,22.198999999999998,22.205000000000002,22.396333333333335,23.80483333333333,22.93225,21.88416,22.43254183024404,22.559383148567118,57.60869565217387,52.5179856115108,52.75938189845474,-0.126841318323077,-0.3300209281754364,0.4063592197047188,-0.126841318323077,-0.35829048782466444,0.4628983390031749,23.326117863187434,22.205000000000002,21.08388213681257,76.7551743409631,69.80754053453185,90.65044195382558,76.60941668804878,69.21495375445923,91.39834255522788,0.8164095868378779,102.77962102779607,-30.67729083665339,-0.00580423885322302,0.018514347493130384,0.018239135329880547,0.00954025212460365,-0.050192887998935724,-0.014052262643220808,0.03316736854418895,73.09004605118687
2024-12-30,22.55,22.75,22.3,22.45,97277049,2187789770.94,0.4897,-0.7077,22.822,22.338,22.1995,22.369999999999997,23.75916666666667,22.892083333333332,21.91384,22.822,22.338,22.1995,22.369999999999997,23.75916666666667,22.892083333333332,21.91384,22.43522770251419,22.5512806931177,57.81818181818181,50.9632224168126,51.95652173913043,-0.11605299060351015,-0.28722734066105116,0.342348700115082,-0.11605299060351015,-0.32102318055987145,0.4099403799127226,23.31434669703722,22.1995,21.08465330296278,70.84706189544383,70.15404765483585,72.23309037665979,71.80465177577236,70.07818642823028,75.2575824708565,0.7497896619582636,51.508072928144266,-37.804878048780516,-0.01630006134431688,0.005013877697197525,0.011284037928782128,0.0035762181493071907,-0.0551015397565853,-0.019311625197939584,0.02446672970141239,93.14463172684633
2024-12-31,22.46,22.5,21.5,21.5,134445513,2935692145.02,0.6768,-4.2316,22.522,22.327999999999996,22.1625,22.296,23.65566666666667,22.84558333333333,21.93916,22.522,22.327999999999996,22.1625,22.296,23.65566666666667,22.84558333333333,21.93916,22.291346517512007,22.473408049183057,42.506811989100804,51.322751322751316,45.86693548387097,-0.18206153167104944,-0.26619417886305086,0.16826529438400284,-0.18206153167104944,-0.2996444653462065,0.23516586735031408,23.319990479669865,22.1625,21.005009520330137,52.95824684365861,64.4221140511101,30.030512428755628,53.59664009721096,64.58433765122385,31.621244989185186,0.7952824506931246,-58.92255892255909,-82.81938325991186,-0.04537785276618411,-0.03708348262271569,-0.029892836999436047,-0.0357014711158952,-0.09112686178082778,-0.058899057804754254,-0.020017174768769682,64.89648068080409
2025-01-02,21.4,21.4,20.44,20.71,124729946,2610824056.06,0.6279,-3.6744,22.119999999999997,22.258,22.104,22.186333333333334,23.5675,22.793499999999998,21.9638,22.119999999999997,22.258,22.104,22.186333333333334,23.5675,22.793499999999998,21.9638,22.048062437894774,22.342785230725053,17.378917378917365,47.16369529983795,44.43359375,-0.294722792830278,-0.2718999016564963,-0.045645782347563446,-0.294722792830278,-0.2988872849591405,0.008328984257724992,23.4279080903065,22.104,20.7800919096935,38.36672238556833,55.73698349592951,3.626200164845983,38.79231788793656,55.98699773012809,4.40295820355351,0.8434129142034653,-182.91517323775335,-90.81632653061226,-0.0637432188065098,-0.06954802767544246,-0.06306550850524785,-0.06654246608272357,-0.12124748064071278,-0.09140763814245279,-0.05708483959970489,68.77274985059782
2025-01-03,20.64,21.16,20.46,20.55,103765415,2159601877.56,0.5224,-0.7726,21.564,22.094,22.0045,22.09033333333333,23.480000000000004,22.72308333333333,21.98772,21.564,22.094,22.0045,22.09033333333333,23.480000000000004,22.72308333333333,21.98772,21.81759129360327,22.20998632474542,17.994100294985245,40.93264248704663,41.84890656063619,-0.39239503114214713,-0.29599892755362645,-0.19279220717704137,-0.39239503114214713,-0.3132730920642185,-0.15824387815585728,23.480789445303948,22.0045,20.528210554696052,26.824980456592034,46.09964914948369,-11.724356929191273,27.10871079150419,46.360902083920124,-11.39567179332768,0.8173378388937442,-164.05699846733796,-96.25850340136056,-0.04702281580411794,-0.06988322621526208,-0.06610011588538706,-0.06972884066937256,-0.12478705281090302,-0.0956332950707246,-0.06538740715271973,92.53739576270782
2025-01-06,20.79,21.05,20.41,20.67,82697727,1710058079.95,0.4163,0.5839,21.176000000000002,21.959,21.908,22.017999999999997,23.414666666666665,22.654083333333336,22.01312,21.176000000000002,21.959,21.908,22.017999999999997,23.414666666666665,22.654083333333336,22.01312,21.641038786895077,22.095913263653166,4.13793103448279,43.53146853146855,40.366972477064245,-0.45487447675808923,-0.32777403739451905,-0.25420087872714037,-0.45487447675808923,-0.3350579204786602,-0.2396331125588581,23.47020626712758,21.908,20.345793732872423,20.80138988913096,37.66689606269945,-12.929622458006023,20.990543445739064,37.904115871193106,-12.83660140516902,0.785094595458518,-140.73990270392568,-91.24579124579118,-0.02389497544389876,-0.05870030511407614,-0.05650903779441298,-0.0612226360250702,-0.11721997608336643,-0.08758170896343194,-0.061014522248549904,105.99527456071004
